Application Name,Order number,Main Page,Accessible,Multiplayer,HMD Support,Origin,Store,Store Link,Price,Ratings ( for QuestDB),Main Focus,Download Count,#Player in the Most Popular Room,Platform Type,Platform availability,Hints for room creation,Room creation,Room creation detailed,Official Creator Documentation Main Page,Official First Step Guide,Unofficial Tutorials,Creator Description,Main Page Web Metric,Monthly Active Users,Events,Scholar Articles
Yeeps: Hide and Seek,2,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/7276525889052788/,Free,43140,"Social, Action",,,,,"Create Anything
Block-based building isn’t just for pillows. Enter Creative Mode to unleash your creativity and build entire worlds from the ground up",,,,,,,,,,
Rec Room,3,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2173678582678296/,Free,31771,"Sports, Arcade",,,,,,,,,,,,,,,
VRChat,5,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/1856672347794301/,Free,27170,"Social, ",,,,,,,,,,,,,,,
Meta Horizon Worlds,10,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2532035600194083/,Free,8683,"Social, ",,,,,,,,,,,,,,,
Capuchin,11,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/5409297455797322/,Free,8570,"Adventure, Action",,,,,,,,,,,,,,,
Roblox,14,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/5804350719675181/,Free,6657,"Arcade, Social",,,,,,,,,,,,,,,
Gun Raiders,18,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/3982869578392875/,Free,5412,"Shooting, Action",,,,,"Hub & Chill
For those looking for something slower pace, hang out in the hub with other players and make new friends.",,,,,,,,,,
Bigscreen Beta,20,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2497738113633933/,Free,4439,"Utilities, Media & Streaming",,,,,,,,,,,,,,,
Penguin Paradise,21,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/5817303821616533/,Free,4421,"Adventure, Battle Royale",,,,,"World Masters - You are in charge! Build your own penguin paradise world, invite your friends to join, and play mini games.",,,,,,,,,,
DigiGods: Build and Battle,22,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/6859397944122034/,Free,4170,"Social, Casual",,,,,"CREATE, PLAY, & SHARE in a physics-based sandbox environment where you can shoot, parkour, or simulate any type of gameplay you desire, taking the best of VR goofiness.",,,,,,,,,,
Remio,25,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/5120897861344596/,Free,3143,"Social, ",,,,,Live in cities and build houses!,,,,,,,,,,
Monkey Mischief,29,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/5077064592389695/,Free,2676,"Action, Horror",,,,,,,,,,,,,,,
Immersed,31,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2849273531812512/,Free,2618,"Productivity, Utilities",,,,,,,,,,,,,,,
Cebus,34,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/6404015439622172/,Free,2312,"Adventure, Horror",,,,,"For those who prefer a more relaxed experience, our sandbox mode allows you to explore and interact with the world at your own pace.",,,,,,,,,,
Villa: AI Creation & Collaboration,36,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/4784171281624823/,Free,2192,"Social, Productivity",,,,,,,,,,,,,,,
Cube Runners,37,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/8390456747663346/,Free,2051,"Adventure, Social",,,,,"Join public rooms, chat with new people, maybe you'll even find a new friend!",,,,,,,,,,
Monkeys Place,39,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/6198284860201271/,Free,1902,"Casual, Simulation",,,,,,,,,,,,,,,
DOWNSHOT,40,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/9166521666722742/,Free,1871,"Fighting, Shooting",,,,,"Fully physics based multiplayer. Built in mod support. Spawnable weapons, blades, tools, props, enemies, and more. Highly optimized for incredible multiplayer sandbox performance. Explore vast and breathtaking levels. Chat with friends over built in voice chat. Versatile weapons with many uses. Experimental gravity and scaling physics! More content coming soon!",,,,,,,,,,
The Under Presents,41,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/1917371471713228/,Free,1797,"Theatre, Experimental",,,,,,,,,,,,,,,
Horizon Venues,42,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/3002729676463989/,Free,1721,"Sports, Music",,,,,,,,,,,,,,,
Meta Quest TV,45,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/1931356740318898/,Free,1626,"Media & Streaming, ",,,,,,,,,,,,,,,
Sail,46,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/4861702420530349/,Free,1552,"Adventure, RPG (Role Playing Games)",,,,,"- Social Lobbies: Join forces with friends or make new ones in the pirate social lobbies.
",,,,,,,,,,
Monkeys Realm,48,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/5764893640283538/,Free,1428,"Adventure, Action",,,,,you can play minigames or just jump around and have fun in different maps,,,,,,,,,,
Dance Central,49,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2453152771391571/,Free,1377,"Sports, Music & Rhythm",,,,,"meet up with friends in the multiplayer lounge to party, chat, and dance your hearts out",,,,,,,,,,
Hibow,53,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/3687705861311054/,Free,1110,"Shooting, Battle Royale",,,,,"Multiplayer lobby, social upgrade",,,,,,,,,,
AltspaceVR,54,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2133027990157329/,Free,1106,"Social, ",,,,,,,,,,,,,,,
Multiverse,56,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/1976071352472244/,Free,992,"Lifestyle, Social",,,,,,,,,,,,,,,
Kong,59,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/5930522500329653/,Free,885,"Arcade, Social",,,,,Try out countdown or just chill in casual,,,,,,,,,,
Half + Half,60,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2035353573194060/,Free,885,"Arcade, Social",,,,,"Half + Half is a multiplayer game about fun & connection. The game includes five unique multiplayer spaces that are designed to help you connect with people you know, and also to connect with people you don’t, even if only for a short while.",,,,,,,,,,
Monke Buddys,62,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/5282789891825317/,Free,729,"Adventure, Action",,,,,,,,,,,,,,,
Meta Horizon Workrooms (Beta),64,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2514011888645651/,Free,711,"Productivity, Business",,,,,,,,,,,,,,,
Dead and Buried II,68,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2134077359973067/,Free,671,"Shooting, Action",,,,,- Social: make new friends in the Town and spin up matches together.,,,,,,,,,,
Robot Tag,70,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/5918504334849265/,Free,629,"RPG (Role Playing Games), Action",,,,,,,,,,,,,,,
Spatial,71,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/2927141310670477/,Free,555,"Social, Utilities",,,,,,,,,,,,,,,
Fish Game,73,,Yes,Yes,Quest,QuestDB,Quest,https://www.oculus.com/experiences/quest/6556848877722096/,Free,516,"Casual, Simulation",,,,,"Join public rooms and chat with new fish, maybe you'll even find a new friend!
If you aren't in the mood to talk with new fish, you can always make a private room and send the code to your friends.",,,,,,,,,,
