Application Name,Order number,Main Page,Accessible,Multiplayer,HMD Support,Origin,Store,Store Link,Price,Number of reviews,Main Focus,Online Count,Download Count,#Player in the Most Popular Room,Platform Type,Platform availability,Room creation,Room creation detailed,Official Creator Documentation Main Page,Official First Step Guide,Unofficial Tutorials,Creator Description,Main Page Web Metric,Monthly Active Users,Events,Scholar Articles
VRChat,2,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/438100/VRChat/?curator_clanid=4777282,Free,,Social,23119,,,,,,,,,,,,,,
Rec Room,6,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/438100/VRChat/?curator_clanid=4777282,Free,,"Social, Games",946,,,,,,,,,,,,,,
AChat,19,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1245610/AChat/?curator_clanid=4777282,Free,,"Social, Sexual Content",42,,,,,,,,,,,,,,
ChilloutVR,21,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/661130/ChilloutVR/?curator_clanid=4777282,Free,,Social,39,,,,,,,,,,,,,,
Bigscreen Beta,23,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/457550/Bigscreen_Beta/?curator_clanid=4777282,Free,,Social,35,,,,,,,,,,,,,,
VirtualCast,37,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/947890/VirtualCast/?curator_clanid=4777282,Free,,Social,5,,,,,,,,,,,,,,
Pluto,41,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/389980/Pluto/?curator_clanid=4777282,Free,,Social,3,,,,,,,,,,,,,,
SinVR,42,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/966870/SinVR/?curator_clanid=4777282,Free,,"Sexual Content, Social",3,,,,,,,,,,,,,,
Sansar,50,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/586110/Sansar/?curator_clanid=4777282,Free,,"Social, Events",1,,,,,,,,,,,,,,
Neos VR,51,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/740250/Neos_VR/?curator_clanid=4777282,Free,,Social,1,,,,,,,,,,,,,,
Drop In - VR F2P,58,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1144800/Drop_In__VR_F2P/?curator_clanid=4777282,Free,,"Social, Games",1,,,,,,,,,,,,,,
Monkey Mischief,69,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/3098490/Monkey_Mischief/?curator_clanid=4777282,Free,,"Games, Social",0,,,,,,,,,,,,,,
Yep!,73,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/3058320/Yep/?curator_clanid=4777282,Free,,"Music, Social",0,,,,,,,,,,,,,,
3DXChat,84,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2257780/3DXChat/?curator_clanid=4777282,Free,,"Social, Sexual Content",0,,,,,,,,,,,,,,
Paper Play VR,87,,Demo,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2601840/Paper_Play_VR/?curator_clanid=4777282,Free,,"Social, Games",0,,,,,,,,,,,,,,
CoreVR,91,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2864660/CoreVR/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
MikoVerse,93,,Book,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1914710/MikoVerse/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
World Xplore,96,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2708960/World_Xplore/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
District VR,100,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2732650/District_VR/?curator_clanid=4777282,Free,,"Music, Social",0,,,,,,,,,,,,,,
Trivia Crack World,105,,No,Yes,Yes,SteamDB,Steam,https://steamdb.info/app/2690890/,Free,,"Games, Social",0,,,,,,,,,,,,,,
大千 VAST,117,,Book,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2562450/_VAST/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Scenez,129,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2154520/Scenez/?curator_clanid=4777282,Free,,"Music, Social",0,,,,,,,,,,,,,,
PoligonVR,130,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2336430/PoligonVR/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Virtex Stadium,134,,Book,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1690050/Virtex_Stadium/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
GT:VR,150,,Book,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2234300/GTVR/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
3XO: XXX Online,151,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2212050/3XO_XXX_Online/?curator_clanid=4777282,Free,,"Sexual Content, Social",0,,,,,,,,,,,,,,
SIX 3D: Metaverse,153,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2177350/SIX_3D_Metaverse/?curator_clanid=4777282,Free,,"Social, Games",0,,,,,,,,,,,,,,
Many Worlds VR,170,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1496000/Many_Worlds_VR/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
RhyVerse,175,,Book,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1954260/RhyVerse/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Virtual Tokyo Tower,177,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1959860/Virtual_Tokyo_Tower/?curator_clanid=4777282,Free,,"Social, Events",0,,,,,,,,,,,,,,
Betaverse,184,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1542350/Betaverse/?curator_clanid=4777282,Free,,"Social, Games",0,,,,,,,,,,,,,,
Galaxity : Terminal21 VR,186,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1881830/Galaxity__Terminal21_VR/?curator_clanid=4777282,Free,,"Social, Shopping",0,,,,,,,,,,,,,,
PLANET THETA,193,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1840020/PLANET_THETA/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
MageCosmos,198,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1617080/MageCosmos/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Immersion Sector,199,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1676360/Immersion_Sector/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
COMICOMI VR云漫展,205,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1681610/COMICOMI_VR/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
ToyPark - physics-based social VR platform,212,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1723460/ToyPark__physicsbased_social_VR_platform/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Neo Art Space,213,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1714400/Neo_Art_Space/?curator_clanid=4777282,Free,,Art. Social,0,,,,,,,,,,,,,,
Galaxity : Bangkok VR,218,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1650920/Galaxity__Bangkok_VR/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Go Clubbing,219,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1627250/Go_Clubbing/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Eden,227,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1229910/Eden/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
KowloonVR,229,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1522520/KowloonVR/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Discovery,230,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1530530/Discovery/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Wings VR,245,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/1204900/Wings_VR/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Windfall,262,,No,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/841290/Windfall/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
Home Legacy,275,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/394120/Home_Legacy/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
VR Triber,278,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/680170/VR_Triber/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
VRROOM,285,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/2166320/VRROOM/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
BeanVR—The Social VR APP,290,,Yes,Yes,Yes,SteamDB,Steam,https://store.steampowered.com/app/638920/BeanVRThe_Social_VR_APP/?curator_clanid=4777282,Free,,Social,0,,,,,,,,,,,,,,
