Application Name,Order Number,Main Page,Accessible,Social,HMD,Origin,Store,Main Page,Price,Number of Reviews,focus,count,Rating,Summary,Multiplayer,HMD Support,Origin,Order number,Store,Store Link,Main Focus,Online Count,Download Count,#Player in the Most Popular Room,Platform Type,Platform availability,Room creation,Room creation detailed,Official Creator Documentation Main Page,Official First Step Guide,Unofficial Tutorials,Creator Description,Main Page Web Metric,Monthly Active Users,Events,Scholar Articles
ENGAGE,1,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,Yes,Yes,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,0,140,,,72,"ENGAGE is a business-focused spatial computing platform
Designed for corporations, professionals, education organizations, and event organizers.

It is used for remote training, collaboration, events, and marketing and enables our clients to directly engage with employees, customers, and suppliers in virtual locations and digital twins.

ENGAGE clients include companies across many different business verticals, including KPMG, Pfizer, 3M, Stanford University, Lenovo, HSBC, KIA, and many more.",,,,,,,,,,,,,,,,,,,,,,
Roblox,2,https://www.meta.com/en-gb/experiences/roblox/5804350719675181/,Yes,Yes,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/roblox/5804350719675181/,0,7029,,,76,"Roblox lets you explore and share experiences with friends. With over 66 million daily active users and a huge variety of 3D immersive experiences created by a global community, there&#x2019;s always something new to discover.",,,,,,,,,,,,,,,,,,,,,,
MeetinVR,3,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,Yes,Yes,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,0,86,,,70,"MeetinVR enables best-in-class metaverse meetings and collaboration. 

Whether you want to meet with your team or with your customers, MeetinVR provides the ideal platform for workshops, training, and education.",,,,,,,,,,,,,,,,,,,,,,
Half + Half,4,https://www.meta.com/en-gb/experiences/half-half/2035353573194060/,Yes,Yes,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/half-half/2035353573194060/,0,886,,,78,"Half + Half is a multiplayer game about fun &amp; connection. Glide or Swim through open-ended spaces. Play human tetris with friends, or Hide &amp; Seek where you&#x2019;re two inches tall.",,,,,,,,,,,,,,,,,,,,,,
Cube Runners,5,https://www.meta.com/en-gb/experiences/cube-runners/8390456747663346/,Yes,Yes,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/cube-runners/8390456747663346/,0,2106,,,82,Cube Runners A Fun Multiplayer Game.,,,,,,,,,,,,,,,,,,,,,,
Wolvic,6,https://www.meta.com/en-gb/experiences/wolvic/5917120145021341/,Yes,No,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/wolvic/5917120145021341/,0,195,,,72,"Wolvic is a secure, open source, and accessible web browser that brings all of the web&#x2019;s vast information and applications to the world of XR, and enables rich immersive WebXR experiences on the web itself. With interfaces and interaction support designed for immersive headsets, Wolvic brings you the best of both the web and XR.",,,,,,,,,,,,,,,,,,,,,,
GRAB,7,https://www.meta.com/en-gb/experiences/grab/4104088956355944/,Yes,Yes,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/grab/4104088956355944/,0,10615,,,98,"Experience the thrill of VR platforming in GRAB, where you can parkour through user-created levels with friends and build your own.",,,,,,,,,,,,,,,,,,,,,,
Aim XR,8,https://www.meta.com/en-gb/experiences/aim-xr/4245506092131005/,Yes,No,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/aim-xr/4245506092131005/,0,1259,,,86,"Fast-paced multiplayer, run-and-gun shooter. 6v6 players",,,,,,,,,,,,,,,,,,,,,,
BIG BALLERS VR,9,https://www.meta.com/en-gb/experiences/big-ballers-vr/3947713001963656/,Yes,No,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/big-ballers-vr/3947713001963656/,0,15198,,,96,"&#x1f410; BECOME THE G.O.A.T &#x1f410; 

Rank up in the fastest growing VR sports game, BIG BALLERS VR. Play with up to 12 players and perform crazy windmill contact dunks in basketball, slug dingers in baseball, and clutch it with game-winning touchdown catches. Try our MR Fitness mode too.  

&#x1f3c8; EASY TO LEARN &#x2013; HARD TO MASTER &#x26be;&#xfe0f;&#x1f3c0;&#x1f3d0;

Our world-class physics engine gives you realistic natural gameplay while being easy to grasp yet challenging to master.

&#x1f624; WILL YOU RISE TO THE CHALLENGE &#x1f624;

Play free now!",,,,,,,,,,,,,,,,,,,,,,
VRChat,10,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,Yes,Yes,,quest_query_data_social,Quest,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,0,27507,,,74,Make Friends and Explore an Endless Stream of Community Made Worlds and Avatars,,,,,,,,,,,,,,,,,,,,,,
