Application Name,Order Number,Main page,Accessible,Social,HMD,origin,Store,Store URL,Price,Number of Reviews,focus,count,Rating
VRChat,1,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_151_150_1,,Yes,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_151_150_1,,223788,,,74%
Metaverse Construction Kit,2,https://store.steampowered.com/app/422630/Metaverse_Construction_Kit/?snr=1_7_7_151_150_1,,No,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/422630/Metaverse_Construction_Kit/?snr=1_7_7_151_150_1,,226,,,67%
MalovMetaArt Metaverse,3,https://store.steampowered.com/app/2224020/MalovMetaArt_Metaverse/?snr=1_7_7_151_150_1,,No,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/2224020/MalovMetaArt_Metaverse/?snr=1_7_7_151_150_1,,27,,,81%
SIX 3D: Metaverse,4,https://store.steampowered.com/app/2177350/SIX_3D_Metaverse/?snr=1_7_7_151_150_1,,Yes,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/2177350/SIX_3D_Metaverse/?snr=1_7_7_151_150_1,,0,,,-
Metaverse Keeper Demo,5,https://store.steampowered.com/app/698870/Metaverse_Keeper/?snr=1_7_7_151_150_1,,No,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/698870/Metaverse_Keeper/?snr=1_7_7_151_150_1,,0,,,-
A Land: Dubai Metaverse Demo,6,https://store.steampowered.com/app/2186510/A_Land_Dubai_Metaverse/?snr=1_7_7_151_150_1,,Yes,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/2186510/A_Land_Dubai_Metaverse/?snr=1_7_7_151_150_1,,0,,,-
Star Renegades: Guardian of the Metaverse,7,https://store.steampowered.com/app/1677780/Star_Renegades_Guardian_of_the_Metaverse/?snr=1_7_7_151_150_1,,No,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/1677780/Star_Renegades_Guardian_of_the_Metaverse/?snr=1_7_7_151_150_1,,0,,,-
ChilloutVR,8,https://store.steampowered.com/app/661130/ChilloutVR/?snr=1_7_7_151_150_1,,Yes,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/661130/ChilloutVR/?snr=1_7_7_151_150_1,,2332,,,81%
Hyper Online: Avatar VTuber Studio,9,https://store.steampowered.com/app/2828790/Hyper_Online_Avatar_VTuber_Studio/?snr=1_7_7_151_150_1,,No,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/2828790/Hyper_Online_Avatar_VTuber_Studio/?snr=1_7_7_151_150_1,,49,,,53%
WWII Online,10,https://store.steampowered.com/app/251950/WWII_Online/?snr=1_7_7_151_150_1,,No,,steam_query_data_metaverse,Steam,https://store.steampowered.com/app/251950/WWII_Online/?snr=1_7_7_151_150_1,,3638,,,49%
