Application Name,Order Number,page,accessible,Social,hmd,origin,Store,Store URL,Price,Number of Reviews,focus,count,Rating
War Thunder,1,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_151_150_1,,529170,,,73%
VRChat,2,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_151_150_1,,223785,,,74%
DCS World Steam Edition,3,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition/?snr=1_7_7_151_150_1,,34035,,,85%
Rec Room,4,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/471710/Rec_Room/?snr=1_7_7_151_150_1,,65671,,,90%
Scary Ghost VR Demo: Multiplayer,5,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/3063780/Scary_Ghost_VR_Multiplayer/?snr=1_7_7_151_150_1,,0,,,-
Real Pool 3D - Poolians,6,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/670290/Real_Pool_3D__Poolians/?snr=1_7_7_151_150_1,,13824,,,77%
RaceRoom Racing Experience,7,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/211500/RaceRoom_Racing_Experience/?snr=1_7_7_151_150_1,,21607,,,74%
One-armed cook,8,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1977530/Onearmed_cook/?snr=1_7_7_151_150_1,,24426,,,92%
Vegas Infinite by PokerStars,9,,,,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/886250/Vegas_Infinite_by_PokerStars/?snr=1_7_7_151_150_1,,5852,,,81%
WGT Golf,10,,,,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1182020/WGT_Golf/?snr=1_7_7_151_150_1,,2611,,,62%
McOsu,11,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/607260/McOsu/?snr=1_7_7_151_150_1,,6005,,,88%
SCP: Labrat,12,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1402020/SCP_Labrat/?snr=1_7_7_151_150_1,,3646,,,82%
Google Earth VR,13,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/348250/Google_Earth_VR/?snr=1_7_7_151_150_1,,3815,,,94%
Propagation VR,14,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1363430/Propagation_VR/?snr=1_7_7_151_150_1,,5343,,,94%
Bigscreen Beta,15,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/457550/Bigscreen_Beta/?snr=1_7_7_151_150_1,,3068,,,85%
Resonite,16,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/2519830/Resonite/?snr=1_7_7_151_150_1,,1041,,,82%
Tales of Escape,17,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/587860/Tales_of_Escape/?snr=1_7_7_151_150_1,,2034,,,62%
Epic Roller Coasters,18,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/787790/Epic_Roller_Coasters/?snr=1_7_7_151_150_1,,656,,,64%
Rise of Flight United,19,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/244050/Rise_of_Flight_United/?snr=1_7_7_151_150_1,,2467,,,55%
ChilloutVR,20,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/661130/ChilloutVR/?snr=1_7_7_151_150_1,,2332,,,81%
Zaccaria Pinball,21,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/444930/Zaccaria_Pinball/?snr=1_7_7_151_150_1,,1475,,,83%
SinVR,22,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/966870/SinVR/?snr=1_7_7_151_150_1,,1255,,,59%
IronWolf: Free Non-VR Edition,23,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/2530670/IronWolf_Free_NonVR_Edition/?snr=1_7_7_151_150_1,,435,,,94%
Tabletopia,24,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/402560/Tabletopia/?snr=1_7_7_151_150_1,,1577,,,63%
Hyper Dash,25,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1386890/Hyper_Dash/?snr=1_7_7_151_150_1,,299,,,87%
Tribe XR | DJ Academy,26,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/877850/Tribe_XR__DJ_Academy/?snr=1_7_7_151_150_1,,272,,,83%
Chaos,27,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1230410/Chaos/?snr=1_7_7_151_150_1,,3862,,,88%
VirtualCast,28,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/947890/VirtualCast/?snr=1_7_7_151_150_1,,99,,,78%
FPS Game: Dev Test,29,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1901200/FPS_Game_Dev_Test/?snr=1_7_7_151_150_1,,1397,,,85%
Cards & Tankards,30,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1506850/Cards__Tankards/?snr=1_7_7_151_150_1,,769,,,89%
Surgeon Simulator VR: Meet The Medic,31,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/457420/Surgeon_Simulator_VR_Meet_The_Medic/?snr=1_7_7_151_150_1,,518,,,76%
Aces High III,32,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/651090/Aces_High_III/?snr=1_7_7_151_150_1,,385,,,59%
Blaston,33,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1427890/Blaston/?snr=1_7_7_151_150_1,,553,,,91%
Zenith: Nexus,34,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1403370/Zenith_Nexus/?snr=1_7_7_151_150_1,,4393,,,69%
Desert Bus VR,35,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/638110/Desert_Bus_VR/?snr=1_7_7_151_150_1,,1698,,,88%
Star Wars: Droid Repair Bay,36,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/726910/Star_Wars_Droid_Repair_Bay/?snr=1_7_7_151_150_1,,504,,,89%
Museum of Other Realities,37,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/613900/Museum_of_Other_Realities/?snr=1_7_7_151_150_1,,403,,,91%
GRAB,38,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1701130/GRAB/?snr=1_7_7_151_150_1,,88,,,90%
Shattered Lights,39,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1057720/Shattered_Lights/?snr=1_7_7_151_150_1,,415,,,87%
DAVIGO KNIGHT'S PASS,40,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1116540/DAVIGO_VR_vs_PC/?snr=1_7_7_151_150_1,,0,,,-
Sam & Dan: Floaty Flatmates,41,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/978270/Sam__Dan_Floaty_Flatmates/?snr=1_7_7_151_150_1,,691,,,92%
Fly Dangerous,42,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1781750/Fly_Dangerous/?snr=1_7_7_151_150_1,,341,,,79%
X8,43,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1763510/X8/?snr=1_7_7_151_150_1,,173,,,83%
Protonwar,44,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/461410/Protonwar/?snr=1_7_7_151_150_1,,104,,,80%
SCP: Blackout,45,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/963400/SCP_Blackout/?snr=1_7_7_151_150_1,,298,,,68%
Ship Ahoy Open BETA,46,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/757380/Ship_Ahoy_Open_BETA/?snr=1_7_7_151_150_1,,49,,,83%
Nemesis Perspective,47,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/537140/Nemesis_Perspective/?snr=1_7_7_151_150_1,,130,,,89%
Paintball Playground,48,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/2808630/Paintball_Playground/?snr=1_7_7_151_150_1,,33,,,54%
Arkio,49,,,,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1053760/Arkio/?snr=1_7_7_151_150_1,,35,,,94%
Gurugedara,50,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/701010/Gurugedara/?snr=1_7_7_151_150_1,,12,,,83%
The Ranger: Lost Tribe,51,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/673070/The_Ranger_Lost_Tribe/?snr=1_7_7_151_150_2,,362,,,80%
PAYDAY 2 VR,52,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/826090/PAYDAY_2_VR/?snr=1_7_7_151_150_2,,1255,,,71%
Teleporter: World of Gamers (Alpha),53,,,Yes,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/1232510/Teleporter_World_of_Gamers_Alpha/?snr=1_7_7_151_150_2,,56,,,83%
Dungeon Full Dive: Player Edition,54,,,No,,steam_query_data_vr_multiplayer,Steam,https://store.steampowered.com/app/2839600/Dungeon_Full_Dive_Player_Edition/?snr=1_7_7_151_150_2,,42,,,50%
