name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,HMD,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Z-score,Order_formula,Main Focus,Online Count,Rating,summary,Download Count,#Player in the Most Popular Room,Platform Type,Platform availability,Hints for room creation,Room creation,Room creation detailed,Official Creator Documentation Main Page,Official First Step Guide,Unofficial Tutorials,Creator Description,Main Page Web Metric,Monthly Active Users,Events,Scholar Articles
Microsoft Mesh,,15,https://www.microsoft.com/en-us/microsoft-teams/microsoft-mesh,https://www.meta.com/en-gb/experiences/microsoft-mesh/6750166401689690/,Yes,Yes,Yes,Yes,,quest_query_data_metaverse,Quest,0,75,75,-0.2678234305,3491000000,5.874353327,5.606529896,,,,38,"Microsoft Mesh erm&#xf6;glicht es Ihrer flexiblen Belegschaft, sich wie nie zuvor in einem immersiven 3D-Raum zu verbinden, sodass virtuelle Besprechungen und Events sich mehr wie pers&#xf6;nliche Treffen anf&#xfc;hlen. Treten Sie &#xfc;ber die Microsoft Mesh-App Microsoft Teams-Besprechungen bei. Greifen Sie auf Mesh auf PC-, Meta Quest 2-, Meta Quest 3- und Meta Quest Pro-Ger&#xe4;te zu.",,,,,,,,,,,,,,,
VRChat,,1,vrchat.com,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,,steam_query_data_metaverse,Steam,,223788,223788,5.663577982,9072000,-0.1787561089,5.484821874,,,,74%,,,,,,,,,,,,,,,,
Rec Room,,4,https://recroom.com/,https://store.steampowered.com/app/471710/Rec_Room/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,,steam_query_data_vr_multiplayer,Steam,,65671,65671,1.471352241,330865,-0.1939520138,1.277400228,,,,90%,,,,,,,,,,,,,,,,
Roblox,,7,https://www.roblox.com/,https://www.meta.com/en-gb/experiences/roblox/5804350719675181/,Yes,Yes,Yes,Yes,,quest_query_data_metaverse,Quest,0,7029,7029,-0.08344896219,728800000,1.07244505,0.9889960875,,,,76,"Roblox lets you explore and share experiences with friends. With over 66 million daily active users and a huge variety of 3D immersive experiences created by a global community, there&#x2019;s always something new to discover.",,,,,,,,,,,,,,,
Yeeps: Hide and Seek,,2,https://godsofgravityvr.com/pages/yeeps-hide-and-seek,https://www.oculus.com/experiences/quest/7276525889052788/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,43140,43140,0.8739779036,3297,-0.1945214699,0.6794564337,,"Social, Action",,,,,,,,"Create Anything
Block-based building isn’t just for pillows. Enter Creative Mode to unleash your creativity and build entire worlds from the ground up",,,,,,,,,,
GRAB,,7,https://grabvr.quest/,https://www.meta.com/en-gb/experiences/grab/4104088956355944/,Yes,Yes,Yes,Yes,,quest_query_data_social,Quest,0,10615,10615,0.01162823702,0,-0.1945272015,-0.1828989645,,,,98,"Experience the thrill of VR platforming in GRAB, where you can parkour through user-created levels with friends and build your own.",,,,,,,,,,,,,,,
Meta Horizon Worlds,,8,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,Yes,Yes,Yes,Yes,Yes,Google search,Meta,Free,"9,113","9,113",-0.02819495127,19610000,-0.160436469,-0.1886314203,,#N/A,,,,,,,,,,,,,,,,,,
Penguin Paradise,,21,http://www.savastudios.xyz/,https://www.oculus.com/experiences/quest/5817303821616533/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,4421,4421,-0.1525960162,0,-0.1945272015,-0.3471232176,,"Adventure, Battle Royale",,,,,,,,"World Masters - You are in charge! Build your own penguin paradise world, invite your friends to join, and play mini games.",,,,,,,,,,
DigiGods: Build and Battle,,22,https://www.digigods.gg/,https://www.oculus.com/experiences/quest/6859397944122034/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,4170,4170,-0.1592508898,0,-0.1945272015,-0.3537780913,,"Social, Casual",,,,,,,,"CREATE, PLAY, & SHARE in a physics-based sandbox environment where you can shoot, parkour, or simulate any type of gameplay you desire, taking the best of VR goofiness.",,,,,,,,,,
Remio,,19,https://www.remiovr.com/,https://www.meta.com/en-gb/experiences/remio/5120897861344596/,Yes,Yes,Yes,Yes,,quest_query_data_social,Quest,0,3517,3517,-0.1765641668,1845,-0.1945239941,-0.3710881608,,,,94,"Play lots of free games!

Complete Obstacles and Puzzle Races!

Make epic YouTube content!

Role play!

Be birds or spiders!

Live in cities and build houses!

Join our Discord: https://discord.com/invite/YrZwpCANQN",,,,,,,,,,,,,,,
