name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,HMD,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Z-score
Microsoft Mesh,,15,https://www.microsoft.com/en-us/microsoft-teams/microsoft-mesh,https://www.meta.com/en-gb/experiences/microsoft-mesh/6750166401689690/,Yes,Yes,Yes,Yes,,quest_query_data_metaverse,Quest,0,75,75,-0.273326599,3491000000,5.874353327,5.601026727
VRChat,,1,vrchat.com,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,,steam_query_data_metaverse,Steam,,223788,223788,5.666070026,9072000,-0.1787561089,5.487313917
Rec Room,,4,https://recroom.com/,https://store.steampowered.com/app/471710/Rec_Room/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,,steam_query_data_vr_multiplayer,Steam,,65671,65671,1.468193389,330865,-0.1939520138,1.274241375
Roblox,,7,https://www.roblox.com/,https://www.meta.com/en-gb/experiences/roblox/5804350719675181/,Yes,Yes,Yes,Yes,,quest_query_data_metaverse,Quest,0,7029,7029,-0.08870360383,728800000,1.07244505,0.9837414459
Yeeps: Hide and Seek,,2,https://godsofgravityvr.com/pages/yeeps-hide-and-seek,https://www.oculus.com/experiences/quest/7276525889052788/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,43140,43140,0.8700138221,3297,-0.1945214699,0.6754923523
GRAB,,7,https://grabvr.quest/,https://www.meta.com/en-gb/experiences/grab/4104088956355944/,Yes,Yes,Yes,Yes,,quest_query_data_social,Quest,0,10615,10615,0.006501754361,0,-0.1945272015,-0.1880254471
Meta Horizon Worlds,,8,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,Yes,Yes,Yes,Yes,Yes,Google search,Meta,Free,"9,113","9,113",-0.03337511346,19610000,-0.160436469,-0.1938115824
Penguin Paradise,,21,http://www.savastudios.xyz/,https://www.oculus.com/experiences/quest/5817303821616533/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,4421,4421,-0.1579438643,0,-0.1945272015,-0.3524710658
DigiGods: Build and Battle,,22,https://www.digigods.gg/,https://www.oculus.com/experiences/quest/6859397944122034/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,4170,4170,-0.1646077084,0,-0.1945272015,-0.3591349099
Remio,,19,https://www.remiovr.com/,https://www.meta.com/en-gb/experiences/remio/5120897861344596/,Yes,Yes,Yes,Yes,,quest_query_data_social,Quest,0,3517,3517,-0.1819443227,1845,-0.1945239941,-0.3764683168
ChilloutVR,,8,https://abinteractive.net/,https://store.steampowered.com/app/661130/ChilloutVR/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,,steam_query_data_metaverse,Steam,,2332,2332,-0.2134051006,13447,-0.1945038247,-0.4079089253
Neos VR,,14,https://neos.com/,https://store.steampowered.com/app/740250/Neos_VR/,Yes,Yes,Yes,Yes,Yes,Google search,Steam,Free,2245,2245,-0.2157148792,6153,-0.1945165049,-0.4102313841
Villa: AI Creation & Collaboration,,36,https://www.villa.rocks/,https://www.oculus.com/experiences/quest/4784171281624823/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,2192,2192,-0.2171219857,1652,-0.1945243296,-0.4116463153
AltspaceVR,,54,http://www.altvr.com/,https://www.oculus.com/experiences/quest/2133027990157329/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,1106,1106,-0.2459543948,1307,-0.1945249293,-0.4404793242
Resonite,,16,https://resonite.com/,https://store.steampowered.com/app/2519830/Resonite/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,,steam_query_data_vr_multiplayer,Steam,,1041,1041,-0.2476800915,118901,-0.1943204997,-0.4420005912
Multiverse,,1,https://www.multiverseupdates.com/,https://www.meta.com/en-gb/experiences/multiverse/1976071352472244/,Yes,Yes,Yes,Yes,,quest_query_data_metaverse,Quest,0,1001,1001,-0.2487420587,3783,-0.194520625,-0.4432626837
