name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Popularity via Z-score,Who,Rating,Additional Comments for removal,Official Documentation,External Guides,Video links,Editor,Editor - Description,Scripting,Scripting - Description,Lang,Hosting,Hosting - Description,Peer-review,Review - Description
3DXChat,,84,https://3dxchat.com/join.html,https://store.steampowered.com/app/2257780/3DXChat/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,"It may not be a free service. ""Microsoft 365 and Office 365 commercial subscriptions that have a Teams license""",https://learn.microsoft.com/en-us/mesh/,https://github.com/microsoft/Mesh-Toolkit-Unity,https://www.youtube.com/watch?v=RctQj51rA9w,"Game Engine + SDK, In-app",Both in app editor and Unity based SDK.,"full code, logic flow scripting",In the app creation tool there is a limited visual/logic scripoting but in the unity + SDK editor there is full C# scripoting ( hosted by them) and a logic flow scripting capabilites.,,Cloud,The scripting seems hosted on a microsoft cloud machine.,Test Case,The only review process it seems to happen is a test cases that needs to pass for the spaces to be published.
3XO: XXX Online,,151,https://3xo.io/,https://store.steampowered.com/app/2212050/3XO_XXX_Online/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,https://creators.vrchat.com/getting-started,https://steamcommunity.com/sharedfiles/filedetails/?l=german&id=2507157026,https://www.youtube.com/playlist?list=PLPdWkxUSZ65Fp6ICrU7mIq1znAfPwMhNZ,Game Engine + SDK,Uses Unity,"full code, logic flow scripting",Access to Uson Graph and UdonSharp (use C#) are available in the Unity Editor.,C#,Cloud,The worlds can be uploaded to the Community Labs,Peer-review,Worlds are queued and reviewed in Community Labs before going public based on popularity and reports of major concerns.
3XO: XXX Online Demo,,58,https://store.steampowered.com/app/2212050/3XO_XXX_Online/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2212050/3XO_XXX_Online/?snr=1_7_7_151_150_2,No,Yes,,,steam_query_data_metaverse,Steam,Free,0,,,,,,,-,,https://rec.net/creator,https://docs.alexagirl.studio/docs/SavingRooms/publishing,,"In-app, Custom, Game Engine + SDK",In-app custom creator tool,"logic flow scripting, full code",In the in-app creation tool. In the Unity+SDK you should have access to scripts in C#.,C#,Cloud,The room are directly uploaded to the recroom cloud,No peer review,It does Automated image scanning to prevent unwanted content in game such as inappropriate shirts. But it does not appear to have any review process. Actually it ask the users to report problems if they see them.
A Land: Dubai Metaverse Demo,,6,https://store.steampowered.com/app/2186510/A_Land_Dubai_Metaverse/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2186510/A_Land_Dubai_Metaverse/?snr=1_7_7_151_150_1,No,Yes,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,https://create.roblox.com/docs,https://www.codewizardshq.com/how-to-make-a-roblox-game/,https://www.youtube.com/@RobloxLevelUp,Game Engine + SDK,Uses Roblox Engine in Roblox Studio,full code,In the game engine using their own script editor with Luau programming language,Lua,Cloud,The experiences are managed in the Creator Dashboard,No peer review,"Creators are encouraged to provide guidelines, but there are no review process from the Roblox part"
Aardvark,,66,-,https://store.steampowered.com/app/1466430/Aardvark/?snr=1_7_7_151_150_2,Yes,Yes,,,steam_query_data_vr_multiplayer,Steam,Free,11,,,,,,,81%,PAID TO CREATE?,,,https://www.youtube.com/watch?v=I8XVDyZVqNY,In-app,In vr app map creator and simple logic.,block-building,Simple logic block building capabilities. Similar to redstone in minecraft.,,Cloud,Publish a world in their cloud,No peer review,No information
Aardvark,,17,-,https://store.steampowered.com/app/1466430/Aardvark/,Yes,Yes,,,Google search,Steam,Free,11,,,,,,,,,-,-,https://www.youtube.com/watch?v=HVfMFUgSqaw,In-app,In-app editor provided with basic objects.,no scripting capabilities,-,,Cloud,The worlds are directly published inside the application,"possible further review, No peer review","No review to publish, but worlds can be verified later"
Acadicus,,18,https://acadicus.com/,https://acadicus.com/getting-started-with-acadicus/,Yes,Yes,No,,Google search,Main page,Free,N/A,,,,,,,,,https://www.oculus.com/horizon-worlds/learn/,,https://www.youtube.com/watch?v=r8C7-AOEBhU,In-app,In app custom tool. In 2025 Meta added a custom editor.,visual scripting,"You can add scripts to event, objects and player.",TS,Cloud,Worlds are published in Meta worlds tab.,"possible further review, Test Case",Self questionniare plus possible firther review.
Aces High III,,32,https://www.hitechcreations.com/index.php,https://store.steampowered.com/app/651090/Aces_High_III/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,385,,,,,,,59%,,-,-,https://www.youtube.com/watch?v=I6CMgSF96ek,In-app,In-app editor provided with objects.,no scripting capabilities,-,,Cloud,The worlds seems to be directly published inside the application,No peer review,No information about review.
AChat,,19,-,https://store.steampowered.com/app/1245610/AChat/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,In-app,in app from above world editor. Drag and drop objects.,no scripting capabilities,-,,Cloud,published as a map.,No peer review,No information.
Acron: Attack of the Squirrels!,,65,https://www.meta.com/en-gb/experiences/acron-attack-of-the-squirrels/2345082335516570/,https://www.meta.com/en-gb/experiences/acron-attack-of-the-squirrels/2345082335516570/,Yes,No,,,quest_query_data_social,Quest,19.99,1768,,,,,,,92,Like Minecraft where you can mine and put blocks. This is may not be a full editor.,-,-,https://www.youtube.com/watch?v=ATxd2NgtNeU,"Custom, In-app",Minecraft-like (not an editor),no scripting capabilities,-,,Cloud,Seems like it only has public worlds where players can mine and put blocks.,No peer review,No information about review.
