bib,test title,Title,Topic,Topic-code,Topic-code,Description,Methodology,Attacker,Attacker-code,Attacker-code,Attacker,use-case,Abstract,conference,year,URL,PDF,Presentation,Attacker,Attack Group,Selected Attack
Denning_Dehlawi_Kohno_2014,In Situ with Bystanders of Augmented Reality Glasses: Perspectives on Recording and Privacy-Mediating Technologies,In Situ with Bystanders of Augmented Reality Glasses: Perspectives on Recording and Privacy-Mediating Technologies,Users concerns,user_concerns,user_concerns,"Participant feels observed when being in the same sapce with user of AR devices (e.g. recording glassing, etc)",User Study with end user,malicious bystander,malicious_bystander,malicious_bystander,,user perceptions,"Augmented reality (AR) devices are poised to enter the market. It is unclear how the properties of these devices will affect individuals' privacy. In this study, we investigate the privacy perspectives of individuals when they are bystanders around AR devices. We conducted 12 field sessions in cafés and interviewed 31 bystanders regarding their reactions to a co-located AR device. Participants were predominantly split between having indifferent and negative reactions to the device. Participants who expressed that AR devices change the bystander experience attributed this difference to subtleness, ease of recording, and the technology's lack of prevalence. Additionally, participants surfaced a variety of factors that make recording more or less acceptable, including what they are doing when the recording is being taken. Participants expressed interest in being asked permission before being recorded and in recording-blocking devices. We use the interview results to guide an exploration of design directions for privacy-mediating technologies.",SIGCHI,2014,https://dl.acm.org/doi/10.1145/2556288.2557352,https://ar-sec.cs.washington.edu/files/ar-chi2014.pdf,,,,
Adams_Bah_Barwulor_Musaby_Pitkin_Redmiles_2018,Ethics Emerging: the Story of Privacy and Security Perceptions in Virtual Reality,Ethics Emerging: the Story of Privacy and Security Perceptions in Virtual Reality,USers and Deveoper Concerns,developer_concerns,developer_concerns,"Users concerns: harassment, security vulnerabilities, and potential misuse of data collected by always-on sensors like cameras and microphones. Developers: emphasized creating immersive experiences and ensuring user well-being but lacked a unified approach to handling privacy and security concerns. Authors created an ethic guide.","User study with end users and developers. Survey on VR privacy policies, and an ethics co-design study with VR developers and end-user.",N/A ( malicious VR spy user ),"N/A, malicious_bystander","N/A, malicious_bystander",,user and developer perceptions,"Virtual reality (VR) technology aims to transport the user to a virtual world, fully immersing them in an experience entirely separate from the real world. VR devices can use sensor data to draw deeply personal inferences, for example about medical conditions and emotions. Further, VR environments can enable virtual crimes (e.g., theft, assault on virtual representations of the user) from which users have been shown to experience emotional pain similar in magnitude to physical crimes. As such, VR may involve especially sensitive user data and interactions. To effectively mitigate such risks and design for safer experiences, we must understand end-user perceptions of VR risks and how, if at all, developers are considering and addressing those risks. In this paper, we present the first work on VR security and privacy perceptions: a mixed-methods study involving semi-structured interviews with 20 VR users and developers, a survey of VR privacy policies, and an ethics co-design study with VR developers. We establish a foundational understanding of users' concerns about privacy, security, and well-being (both physical and psychological) in VR; raise concerns about the state of VR privacy policies; and contribute a concrete VR developer ""code of ethics'', created by developers, for developers.",SOUPS,2018,https://www.usenix.org/conference/soups2018/presentation/adams,https://www.usenix.org/system/files/conference/soups2018/soups2018-adams.pdf,,,,
von_Willich_Funk_Müller_Marky_Riemann_Mühlhäuser_2019,You Invaded my Tracking Space! Using Augmented Virtuality for Spotting Passersby in Room-Scale Virtual Reality,You Invaded my Tracking Space! Using Augmented Virtuality for Spotting Passersby in Room-Scale Virtual Reality,spatial awarness,"spatial_awareness, bystander","spatial_awareness, bystander",Malicious bystand can spy on you. Authors proposed 3 methods to show in the VR the passerby.,Prototype implementatio for bystander problem.,malicious bystander,malicious_bystander,malicious_bystander,,Show passerby/malicious bystander,"With the proliferation of room-scale Virtual Reality (VR), more and more users install a VR system in their homes. When users are in VR, they are usually completely immersed in their application. However, sometimes passersby invade these tracking spaces and walk up to users that are currently immersed in VR to try and interact with them. As this either scares the user in VR or breaks the user's immersion, research has yet to find a way to seamlessly represent physical passersby in virtual worlds. In this paper, we propose and evaluate three different ways to represent physical passersby in a Virtual Environment using Augmented Virtuality. The representations encompass showing a Pointcloud, showing a 3D-Model, and showing an Image Overlay of the passerby. Our results show that while an Image Overlay and a 3D-Model are the fastest representations to spot passersby, the 3D-Model and the Pointcloud representations were the most accurate.",DIS,2019,https://dl.acm.org/doi/10.1145/3322276.3322334,https://sci-hub.se/10.1145/3322276.3322334,,,,
Gopal_Shukla_Wheelock_Saxena_2023,"Hidden Reality: Caution, Your Hand Gesture Inputs in the Immersive Virtual World are Visible to All","Hidden Reality: Caution, Your Hand Gesture Inputs in the Immersive Virtual World are Visible to All","attack, keylogging, bystander","keylogging, bystander","keylogging, bystander",Bystander record the hands movement and use computer vision to infer what you type.,"They record video, create a dataset and then test it with unlabeled video.",malicious bystander,malicious_bystander,malicious_bystander,,Attack: keylogging,"Text entry is an inevitable task while using Virtual Reality (VR) devices in a wide range of applications such as remote learning, gaming, and virtual meeting. VR users enter passwords/pins to log in to their user accounts in various applications and type regular text to compose emails or browse the internet. The typing activity on VR devices is believed to be resistant to direct observation attacks as the virtual screen in an immersive environment is not directly visible to others present in physical proximity. This paper presents a video-based side-channel attack, Hidden Reality (HR), that shows – although the virtual screen in VR devices is not in direct sight of adversaries, the indirect observations might get exploited to steal the user’s private information. The Hidden Reality (HR) attack utilizes video clips of the user’s hand gestures while they type on the virtual screen to decipher the typed text in various key entry scenarios on VR devices including typed pins and passwords. Experimental analysis performed on a large corpus of 368 video clips show that the Hidden Reality model can successfully decipher an average of over 75% of the text inputs. The high success rate of our attack model led us to conduct a user study to understand the user’s behavior and perception of security in virtual reality. The analysis showed that over 95% of users were not aware of any security threats on VR devices and believed the immersive environments to be secure from digital attacks. Our attack model challenges users’ false sense of security in immersive environments and emphasizes the need for more stringent security solutions in VR space.",USENIX,2023,https://www.usenix.org/conference/usenixsecurity23/presentation/gopal,https://www.usenix.org/system/files/usenixsecurity23-gopal.pdf,,,,
Arafat_Guo_Awad_2021,VR-Spy: A Side-Channel Attack on Virtual Key-Logging in VR Headsets,VR-Spy: A Side-Channel Attack on Virtual Key-Logging in VR Headsets,"bystander, side-channel, attack, keylogging, wifi","bystander, side_channel, wifi","bystander, side_channel, wifi",An attacker can place wi-fi recording device in the victim room to infer what the victim is typing.,They record lot of keystroke wi-fi amplitudes oscillation to create a dataset. Then they show an attacker can infer from the change of the wi-fi signal the keystroke.,malicious bystander,malicious_bystander,malicious_bystander,,Attack: keylogging,"In Virtual Reality (VR), users typically interact with the virtual world using virtual keyboard to insert keywords, surfing the webpages, or typing passwords to access online accounts. Hence, it becomes imperative to understand the security of virtual keystrokes. In this paper, we present VR-Spy, a virtual keystrokes recognition method using channel state information (CSI) of WiFi signals. To the best of our knowledge, this is the first work that uses WiFi signals to recognize virtual keystrokes in VR headsets. The key idea behind VR -Spy is that the side-channel information of fine-granular hand movements associated with each virtual keystroke has a unique gesture pattern in the CSI waveforms. Our novel pattern extraction algorithm leverages signal processing techniques to extract the patterns from the variations of CSI. We implement VR-Spy using two Commercially Off-The-Shelf (COTS) devices, a transmitter (WAVLINK router), and a receiver (Intel NUC with an IWL 5300 NIC). Finally, VR-Spy achieves a virtual keystrokes recognition accuracy of 69.75% in comparison to techniques that assume very advanced adversary models with vision and motion sensors near the victim",IEEE VR,2021,https://ieeexplore.ieee.org/document/9417659,https://zguo32.wordpress.ncsu.edu/files/2023/04/Arafat-et-al.-2021-VR-Spy-A-Side-Channel-Attack-on-Virtual-Key-Loggi.pdf,,,,
ndss_eaves,Eavesdropping on Controller Acoustic Emanation for Keystroke Inference Attack in Virtual Reality,Eavesdropping on Controller Acoustic Emanation for Keystroke Inference Attack in Virtual Reality,"bystander, side-channel, attack, keylogging, acoustic ,audio","audio, side_channel, keylogging, bystander","audio, side_channel, keylogging, bystander",An attacker can listen to 2 microphone and infer what are the position of the joystick to infer what you type.,They record lot of click sounds and infer the position with a model trained on that dataset.,"malicious bystander, wi-fi, hardware, side-channel",malicious_bystander,malicious_bystander,,Attack: keylogging,"Understanding the vulnerability of virtual reality (VR) is crucial for protecting sensitive data and building user trust in VR ecosystems. Previous attacks have demonstrated the feasibility of inferring VR keystrokes inside head-mounted displays (HMDs) by recording side-channel signals generated during user-HMD interactions. However, these attacks are heavily constrained by the physical layout or victim pose in the attack scenario since the recording device must be strictly positioned and oriented in a particular way with respect to the victim. In this paper, we unveil a placement-flexible keystroke inference attack in VR by eavesdropping the clicking sounds of the moving hand controller during keystrokes. The malicious recording smartphone can be placed anywhere surrounding the victim, making the attack more flexible and practical to deploy in VR environments. As the first acoustic attack in VR, our system, Heimdall, overcomes unique challenges unaddressed by previous acoustic attacks on physical keyboards and touchscreens. These challenges include differentiating sounds in a 3D space, adaptive mapping between keystroke sound and key in varying recording placement, and handling occasional hand rotations. Experiments with 30 participants show that Heimdall achieves key inference accuracy of 96.51% and top-5 accuracy of 85.14%-91.22% for inferring passwords with 4-8 characters. Heimdall is also robust under various practical impacts such as smartphone-user placement, attack environments, hardware models, and victim conditions.",NDSS,2024,https://www.ndss-symposium.org/ndss-paper/eavesdropping-on-controller-acoustic-emanation-for-keystroke-inference-attack-in-virtual-reality/,https://www.ndss-symposium.org/wp-content/uploads/2024-100-paper.pdf,,,,
PlaceAvoider,PlaceAvoider: Steering First-Person Cameras away from Sensitive Spaces,PlaceAvoider: Steering First-Person Cameras away from Sensitive Spaces,"input, raw sensor data, recognizer, privacy, spying","raw_sensor_data, recognizer, privacy_spying","raw_sensor_data, recognizer, privacy_spying",Wearable cameras can record possible sensitive data. The author technique use an image classifier to find private spaces.,Machine Learning model trained to find private spaces.,malicious VR spy user,malicious_bystander,malicious_bystander,,Attack: AR spying on private spaces,"Wearable camera products (Glass, Autographer, and Narrative among others) will inevitably collect images in sensitive spaces. We introduce PlaceAvoider, a technique to identify the fine-grained location of photo content to inform access policies. PlaceAvoider performs image analysis with local and global features along with a temporal analysis for photo streams.",NDSS,2014,https://www.ndss-symposium.org/ndss2014/ndss-2014-programme/placeavoider-steering-first-person-cameras-away-sensitive-spaces/,https://www.ndss-symposium.org/wp-content/uploads/2017/09/09_1_1.pdf,,,,
Jana_Molnar_Moshchuk_Dunn_Livshits_Wang_Ofek_2013,Enabling Fine-Grained Permissions for Augmented Reality Applications with Recognizer,Enabling Fine-Grained Permissions for Augmented Reality Applications with Recognizer,"raw sensor, data, OS, input module, recognizer, permission, privacy, spying","permissions, input_module, output_module, recognizer, privacy_spying, OS","permissions, input_module, output_module, recognizer, privacy_spying, OS",Apps should no access raw sensors since they contain privacy sensistive information. The OS give abstraction to the app with the use of recognizers. Those abtraction access can be given to apps like permission.,Authors implement in Kinect an OS-like module that manage the input ( take raw data and abstract it),malicious application,malicious_application,malicious_application,app,Attack: Application collecting personal data,"Augmented reality (AR) applications sense the environment, then render virtual objects on human senses. Examples include smartphone applications that annotate storefronts with reviews and XBox Kinect games that show ""avatars"" mimicking human movements. No current OS has special support for such applications. As a result, permissions for AR applications are necessarily coarse-grained: applications must ask for access to raw sensor feeds, such as video and audio. These raw feeds expose significant additional information beyond what applications need, including sensitive information such as the user’s location, face, or surroundings. Instead of exposing raw sensor data to applications directly, we introduce a new OS abstraction: the recognizer. A recognizer takes raw sensor data as input and exposes higher-level objects, such as a skeleton or a face, to applications. We propose a fine-grained permission system where applications request permissions at the granularity of recognizer objects. We analyze 87 shipping AR applications and find that a set of four core recognizers covers almost all current apps. We also introduce privacy goggles, a visualization of sensitive data exposed to an application. Surveys of 962 people establish a clear ""privacy ordering"" over recognizers and demonstrate that privacy goggles are effective at communicating application capabilities. We build a prototype on Windows that exposes nine recognizers to applications, including the Kinect skeleton tracker. Our prototype incurs negligible overhead for single applications, while improving performance of concurrent applications and enabling secure offloading of heavyweight recognizer computation.",USENIX,2013,https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/jana,https://www.usenix.org/system/files/conference/usenixsecurity13/sec13-paper_jana.pdf,,app,Data collection,Position Logging
Roesner_Molnar_Moshchuk_Kohno_Wang_2014,World-Driven Access Control for Continuous Sensing,World-Driven Access Control for Continuous Sensing,"input, raw sensor data, recognizer, privacy, spying, input module, OS","raw_sensor_data, recognizer,input_module, output_module, privacy_spying, OS","raw_sensor_data, recognizer,input_module, output_module, privacy_spying, OS","Device with wearable cameras could record in places you would not want to record ( bathroom ). Authors propose recognizers for recording/camera usage to make the app not access sopecific content. They also create ""permission"" for app with recognizers.",Authors implement recognizers with QR-code and other techniques,Malicious application,malicious_application,malicious_application,app,Attack: Application collecting personal data,"Modern applications increasingly rely on continuous monitoring of video, audio, or other sensor data to provide their functionality, particularly in platforms such as the Microsoft Kinect and Google Glass. Continuous sensing by untrusted applications poses significant privacy challenges for both device users and bystanders. Even honest users will struggle to manage application permissions using existing approaches. We propose a general, extensible framework for controlling access to sensor data on multi-application continuous sensing platforms. Our approach, world-driven access control, allows real-world objects to explicitly specify access policies. This approach relieves the user's permission management burden while mediating access at the granularity of objects rather than full sensor streams. A trusted policy module on the platform senses policies in the world and modifies applications' ""views"" accordingly. For example, world-driven access control allows the system to automatically stop recording in bathrooms or remove bystanders from video frames,without the user prompted to specify or activate such policies. To convey and authenticate policies, we introduce passports, a new kind of certificate that includes both a policy and optionally the code for recognizing a real-world object. We implement a prototype system and use it to study the feasibility of world-driven access control in practice. Our evaluation suggests that world-driven access control can effectively reduce the user's permission management burden in emerging continuous sensing systems. Our investigation also surfaces key challenges for future access control mechanisms for continuous sensing applications.",CCS,2013,https://dl.acm.org/doi/10.1145/2660267.2660319,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/wdac-tr.pdf,,app,Data collection,Position Logging
Vilk_Molnar_Livshits_Ofek_Rossbach_Moshchuk_Wang_Gal_2015,SurroundWeb: Mitigating Privacy Concerns in a 3D Web Browse,SurroundWeb: Mitigating Privacy Concerns in a 3D Web Browse,"3D Web Browsers, Privacy, Abstractions, raw sensor data, input module, output module","web_browsers, privacy, input_module, output_module","web_browsers, privacy, input_module, output_module","3D web browser designed to project content onto room surfaces while protecting privacy using three abstractions: room skeleton, detection sandbox, and satellite screens. Limits exposure of sensitive information to applications.","Prototype implementation, user surveys to assess privacy perceptions",Malicious application,malicious_application,malicious_application,app,Attack: Application reading more than it should.,"Immersive experiences that mix digital and real-world objects are becoming reality, but they raise serious privacy concerns as they require real-time sensor input. These experiences are already present on smartphones and game consoles via Kinect, and will eventually emerge on the web platform. However, browsers do not expose the display interfaces needed to render immersive experiences. Previous security research focuses on controlling application access to sensor input alone, and do not deal with display interfaces. Recent research in human computer interactions has explored a variety of high-level rendering interfaces for immersive experiences, but these interfaces reveal sensitive data to the application. Bringing immersive experiences to the web requires a high-level interface that mitigates privacy concerns. This paper presents Surround Web, the first 3D web browser, which provides the novel functionality of rendering web content onto a room while tackling many of the inherent privacy challenges. Following the principle of least privilege, we propose three abstractions for immersive rendering: 1) the room skeleton lets applications place content in response to the physical dimensions and locations of render able surfaces in a room, 2) the detection sandbox lets applications declaratively place content near recognized objects in the room without revealing if the object is present, and 3) satellite screens let applications display content across devices registered with Surround Web. Through user surveys, we validate that these abstractions limit the amount of revealed information to an acceptable degree. In addition, we show that a wide range of immersive experiences can be implemented with acceptable performance",IEEE SP,2015,https://ieeexplore.ieee.org/document/7163040,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7163040,,app,Data collection,Position Logging
